Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestNewSegmentAddSynapsesToAllWinnerCells,5.353,8.1712,19.2643,37.1521
TestDestroyWeakSynapseOnWrongPrediction,3.9193,3.9135,4.5799,4.5355
TestWithTwoActiveColumns,0.2957,0.2907,0.7158,0.6534
TestHighSparsitySequenceLearningAndRecall,0.2631,0.2471,0.6546,0.4867
TestDestroyWeakSynapseOnActiveReinforce,0.0748,0.0722,0.8252,0.4439
TestIncreasePermanenceOfActiveSynapses,0.0718,0.0685,0.3743,0.3224
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.2474,0.2398,0.8392,0.796
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1184,0.1155,0.7504,0.6904
TestNewSegmentAddSynapsesToAllWinnerCells1,0.3572,0.3497,0.6988,0.6592
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.2039,0.1965,0.8298,0.7699
TestActivateCorrectlyPredictiveCells,0.3001,0.2947,0.9683,0.9129
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.2724,0.2678,0.4758,0.4426
TestLowSparsitySequenceLearningAndRecall,0.1533,0.1491,0.6769,0.5463
TestBurstUnpredictedColumnsforSixCells,0.2305,0.2139,0.641,0.6033
TestHighSparsitySequenceLearningAndRecallParallel,0.1806,0.1735,1.3236,1.1198
TestSegmentCreationIfNotEnoughWinnerCells2,0.2547,0.2493,0.6431,0.5733
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.0769,0.0736,0.2682,0.2368
TestActiveCellPrediction,0.0971,0.0939,0.4308,0.3731
TestNoneActiveColumns,0.3207,0.313,1.198,1.1454
TestDestroyWeakSynapseOnActiveReinforce1,0.3026,0.297,0.8509,0.8003
TestAddSegmentToCellWithFewestSegments,0.0546,0.0583,0.2007,0.6976
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.2144,0.2096,0.3654,0.3145
TestActivateCorrectlyPredictiveCells1,0.1447,0.1371,0.5482,0.5152
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,22.1557,19.6412,22.7791,22.7384
TestBurstUnpredictedColumnsforFiveCells1,0.3598,0.3547,0.9237,0.8714
TestPunishMatchingSegmentsInInactiveColumns,0.1055,0.1027,0.4518,0.3905
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0932,0.0906,0.2037,0.1855
TestBurstNotpredictedColumns,0.3142,0.3101,1.1936,1.0988
TestNoNewSegmentIfNotEnoughWinnerCells,0.0859,0.0835,0.2282,0.1995
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0652,0.0626,0.1365,0.1216
TestBurstUnpredictedColumnsforFiveCells2,0.0849,0.0815,0.2261,0.2022
TestCreateSynapseInDistalSegment,33.8246,31.8322,35.276,34.9454
TestArrayNotContainingCells,0.3364,0.3314,0.7188,0.6527
TestNoNewSegmentIfNotEnoughWinnerCells3,0.216,0.2104,0.7133,0.6623
TestNoNewSegmentIfNotEnoughWinnerCells1,0.08,0.0774,19.3329,19.1711
TestPredictedActiveCellsAreCorrect,0.578,0.5636,1.1461,1.0738
TestNewSegmentGrowthWhenNoMatchingSegmentFound,31.1001,28.6643,31.8112,31.7013
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.3266,0.3197,1.0706,1.01
TestWhichCellsBecomeActive,26.7818,25.513,27.8011,27.5865
