Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestActivateCorrectlyPredictiveCells,16.3278,15.8213,50.96,43.847
TestCreateSynapseInDistalSegment,31.0539,29.6363,35.906,34.0608
TestActivateCorrectlyPredictiveCells1,0.1092,0.1028,0.3772,0.3367
TestWithTwoActiveColumns,0.0902,0.0851,0.2522,0.2096
TestNoNewSegmentIfNotEnoughWinnerCells1,0.0836,0.0787,0.2433,0.1944
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.1077,0.1017,0.2977,0.2607
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1448,0.1298,0.4154,0.3467
TestDestroyWeakSynapseOnActiveReinforce,0.162,0.1537,1.1403,0.4853
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1152,0.1089,0.2777,0.2514
TestAddSegmentToCellWithFewestSegments,0.1011,0.1078,0.2916,0.5426
TestDestroyWeakSynapseOnWrongPrediction,0.0758,0.0701,0.2002,0.1735
TestNewSegmentAddSynapsesToAllWinnerCells,0.0438,0.048,0.1093,0.3273
TestBurstUnpredictedColumnsforFiveCells1,0.1115,0.0943,0.2705,0.2415
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1015,0.0954,0.2434,0.2132
TestBurstUnpredictedColumnsforSixCells,0.1141,0.1082,0.3507,0.2944
TestNewSegmentGrowthWhenNoMatchingSegmentFound,34.1474,32.6989,34.4773,34.4234
TestHighSparsitySequenceLearningAndRecallParallel,9.7906,9.7539,25.7044,25.1939
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1038,0.0987,0.605,0.5405
TestIncreasePermanenceOfActiveSynapses,0.0718,0.0672,0.2285,0.1784
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1064,0.1006,0.2406,0.2148
TestPredictedActiveCellsAreCorrect,0.1669,0.1582,0.3719,0.3204
TestLowSparsitySequenceLearningAndRecall,0.1608,0.151,0.4676,0.3475
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0799,0.0757,0.2423,0.2117
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1423,0.1355,0.5722,0.5207
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1264,0.1167,0.3218,0.2778
TestPunishMatchingSegmentsInInactiveColumns,0.1537,0.1462,0.5248,0.4146
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.3736,0.3652,0.5598,0.5238
TestDestroyWeakSynapseOnActiveReinforce1,0.123,0.1164,0.33,0.2771
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0928,0.0883,0.3112,0.2849
TestActiveCellPrediction,0.0727,0.0684,0.3234,0.2704
TestBurstNotpredictedColumns,0.1134,0.1071,0.3528,0.2891
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,18.2445,16.9499,18.4883,18.439
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.068,0.0642,0.2788,0.2343
TestSegmentCreationIfNotEnoughWinnerCells2,0.0627,0.0584,0.2588,0.2066
TestNoneActiveColumns,0.0845,0.0797,0.2284,0.2163
TestBurstUnpredictedColumnsforFiveCells2,0.1202,0.1139,0.5948,0.5503
TestArrayNotContainingCells,0.0609,0.0555,0.1863,0.1506
TestWhichCellsBecomeActive,33.1555,31.4978,33.6213,33.5177
