Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,9.4817,9.1858,26.8639,24.4434
TestWhichCellsBecomeActive,13.3662,12.2605,14.6604,14.5174
TestLowSparsitySequenceLearningAndRecall,0.0837,0.0773,0.5304,0.2619
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.0617,0.0591,0.2223,0.1607
TestHighSparsitySequenceLearningAndRecall,0.1823,0.1703,1.0601,0.7181
TestDestroyWeakSynapseOnActiveReinforce1,0.0868,0.0825,0.2462,0.2183
TestDestroyWeakSynapseOnWrongPrediction,0.1328,0.128,0.3627,0.3192
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.0873,0.0828,0.2488,0.2191
TestSegmentCreationIfNotEnoughWinnerCells2,0.1062,0.0994,0.345,0.2837
TestBurstUnpredictedColumnsforFiveCells2,0.0863,0.0811,0.2275,0.1945
TestAddSegmentToCellWithFewestSegments,0.043,0.0492,0.1742,0.3753
TestPunishMatchingSegmentsInInactiveColumns,0.2891,0.2762,0.7384,0.5992
TestNewSegmentAddSynapsesToAllWinnerCells,0.0429,0.0495,0.1519,0.3124
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.0784,0.0715,0.2496,0.2199
TestNewSegmentAddSynapsesToAllWinnerCells1,0.0936,0.0875,0.2391,0.2108
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.1,0.0938,0.2573,0.2278
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.0909,0.0847,0.2791,0.251
TestPredictedActiveCellsAreCorrect,0.1069,0.1007,0.3296,0.2957
TestActiveCellPrediction,0.1017,0.0954,0.3043,0.2553
TestIncreasePermanenceOfActiveSynapses,0.0901,0.0822,0.2763,0.2195
TestCreateSynapseInDistalSegment,22.5657,21.0959,23.5593,23.1035
TestArrayNotContainingCells,0.0946,0.089,0.2801,0.2386
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1424,0.1362,0.2548,0.2348
TestNoneActiveColumns,0.0763,0.0701,0.4008,0.3778
TestNoNewSegmentIfNotEnoughWinnerCells,0.1112,0.1048,0.3245,0.2936
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0922,0.0875,0.3375,0.2826
TestBurstUnpredictedColumnsforFiveCells1,0.0731,0.0683,0.2829,0.2527
TestBurstUnpredictedColumnsforSixCells,0.0734,0.0687,0.2163,0.1922
TestNewSegmentGrowthWhenNoMatchingSegmentFound,36.0647,33.9397,36.3545,36.3136
TestBurstNotpredictedColumns,0.0613,0.0563,0.2724,0.1918
TestWithTwoActiveColumns,0.0871,0.082,0.8416,0.7319
TestActivateCorrectlyPredictiveCells,0.084,0.0774,2.4517,0.2529
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0892,0.085,0.2143,0.1889
TestHighSparsitySequenceLearningAndRecallParallel,0.1891,0.1663,0.5941,0.4286
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,33.0087,31.3753,33.4762,33.4064
TestActivateCorrectlyPredictiveCells1,0.1018,0.0963,0.2604,0.2338
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1727,0.1548,0.7255,0.6478
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1256,0.1196,0.3335,0.3027
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0976,0.0898,0.3728,0.3194
