Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestNewSegmentAddSynapsesToAllWinnerCells,3.5599,4.5441,12.4221,26.0013
TestDestroyWeakSynapseOnWrongPrediction,1.811,1.8051,2.0224,1.9885
TestWithTwoActiveColumns,0.093,0.0877,0.5695,0.4899
TestHighSparsitySequenceLearningAndRecall,0.1578,0.1521,0.6794,0.5168
TestDestroyWeakSynapseOnActiveReinforce,0.0769,0.0745,0.863,0.5223
TestIncreasePermanenceOfActiveSynapses,0.1117,0.0999,0.3818,0.3355
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.3833,0.3742,1.0641,0.9913
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.2716,0.2665,0.6466,0.5711
TestNewSegmentAddSynapsesToAllWinnerCells1,0.302,0.2957,0.6186,0.5754
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1493,0.1441,0.8114,0.7221
TestActivateCorrectlyPredictiveCells,0.2598,0.25,0.5978,0.53
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.1387,0.1351,0.6151,0.5477
TestLowSparsitySequenceLearningAndRecall,0.3078,0.2924,1.3761,1.0329
TestBurstUnpredictedColumnsforSixCells,0.3335,0.324,1.339,1.2434
TestHighSparsitySequenceLearningAndRecallParallel,0.2644,0.2515,1.5427,1.2017
TestSegmentCreationIfNotEnoughWinnerCells2,0.1585,0.1527,0.862,0.7846
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,22.5767,22.5648,26.4967,26.379
TestActiveCellPrediction,24.3196,24.3007,24.9952,24.8917
TestNoneActiveColumns,0.1086,0.1035,0.3381,0.3116
TestDestroyWeakSynapseOnActiveReinforce1,0.185,0.1768,0.4767,0.4226
TestAddSegmentToCellWithFewestSegments,0.1231,0.13,0.346,0.874
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.087,0.0833,0.9373,0.8724
TestActivateCorrectlyPredictiveCells1,0.3245,0.3113,0.9877,0.9072
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,59.9743,58.2641,61.0276,60.9509
TestBurstUnpredictedColumnsforFiveCells1,0.1483,0.1238,0.6441,0.5662
TestPunishMatchingSegmentsInInactiveColumns,0.3991,0.3903,1.0517,0.9398
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.1638,0.1565,1.1162,1.0555
TestBurstNotpredictedColumns,0.3023,0.2868,1.2865,1.1221
TestNoNewSegmentIfNotEnoughWinnerCells,0.2834,0.2744,0.8069,0.7134
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1151,0.1081,0.293,0.2656
TestBurstUnpredictedColumnsforFiveCells2,0.1161,0.1084,0.3809,0.3211
TestCreateSynapseInDistalSegment,41.7561,40.1664,42.6083,42.273
TestArrayNotContainingCells,0.1428,0.1369,0.8086,0.6982
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1015,0.0965,0.2882,0.2524
TestNoNewSegmentIfNotEnoughWinnerCells1,16.0518,16.0449,17.1336,17.067
TestPredictedActiveCellsAreCorrect,0.1533,0.1475,1.0075,0.9428
TestNewSegmentGrowthWhenNoMatchingSegmentFound,36.4457,35.2951,37.0543,36.9871
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.1473,0.145,0.2906,0.2653
TestWhichCellsBecomeActive,32.2013,30.547,32.9099,32.774
