Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestActivateCorrectlyPredictiveCells,11.8193,11.4729,35.8225,30.3496
TestCreateSynapseInDistalSegment,23.6347,22.4947,27.7476,26.2655
TestActivateCorrectlyPredictiveCells1,0.11,0.1021,0.3152,0.2788
TestWithTwoActiveColumns,0.0949,0.0904,0.3161,0.2685
TestNoNewSegmentIfNotEnoughWinnerCells1,0.0776,0.071,0.2249,0.1922
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.1183,0.1123,0.3391,0.2967
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1248,0.1197,0.3891,0.343
TestDestroyWeakSynapseOnActiveReinforce,0.2811,0.2609,1.399,0.6773
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1175,0.1096,0.3961,0.3371
TestAddSegmentToCellWithFewestSegments,0.0719,0.0766,0.1916,0.4525
TestDestroyWeakSynapseOnWrongPrediction,0.1133,0.1036,0.3043,0.2662
TestNewSegmentAddSynapsesToAllWinnerCells,0.07,0.0763,0.1469,0.3622
TestBurstUnpredictedColumnsforFiveCells1,0.1797,0.1725,0.5914,0.4385
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.1158,0.1098,0.2857,0.2525
TestBurstUnpredictedColumnsforSixCells,0.114,0.1076,0.2994,0.2515
TestNewSegmentGrowthWhenNoMatchingSegmentFound,29.0833,27.6251,29.3873,29.3324
TestHighSparsitySequenceLearningAndRecallParallel,0.2486,0.2266,0.9299,0.6572
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1386,0.1215,0.3651,0.3241
TestIncreasePermanenceOfActiveSynapses,0.0766,0.0719,0.303,0.2385
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1008,0.0958,0.237,0.209
TestPredictedActiveCellsAreCorrect,0.0789,0.0724,0.21,0.1756
TestLowSparsitySequenceLearningAndRecall,0.1742,0.1552,0.5095,0.4005
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0742,0.0689,0.198,0.1727
TestNewSegmentAddSynapsesToAllWinnerCells1,2.976,2.9613,3.2982,3.2219
TestNoNewSegmentIfNotEnoughWinnerCells3,0.7469,0.7345,2.7847,2.7178
TestPunishMatchingSegmentsInInactiveColumns,0.1388,0.1266,0.4845,0.3861
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.0866,0.079,0.2218,0.1916
TestDestroyWeakSynapseOnActiveReinforce1,0.1208,0.113,0.3156,0.2676
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.098,0.0912,0.2167,0.1959
TestActiveCellPrediction,0.0801,0.0733,0.2611,0.2091
TestBurstNotpredictedColumns,0.1246,0.1162,0.397,0.3428
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,38.2011,36.8679,38.5109,38.4703
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0634,0.0588,0.1665,0.1418
TestSegmentCreationIfNotEnoughWinnerCells2,0.0891,0.0806,0.355,0.2842
TestNoneActiveColumns,0.0945,0.086,0.2617,0.2463
TestBurstUnpredictedColumnsforFiveCells2,0.1244,0.1159,0.3429,0.2941
TestArrayNotContainingCells,0.0658,0.0607,0.1967,0.1584
TestWhichCellsBecomeActive,19.9793,18.9281,20.2345,20.1558
