Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,8.5668,8.3134,25.5025,23.1512
TestWhichCellsBecomeActive,12.5761,11.6004,13.971,13.8085
TestLowSparsitySequenceLearningAndRecall,0.1035,0.0964,0.6336,0.3027
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.0829,0.0781,0.2919,0.216
TestHighSparsitySequenceLearningAndRecall,0.1251,0.1163,0.5564,0.3825
TestDestroyWeakSynapseOnActiveReinforce1,0.0869,0.0835,0.2258,0.2012
TestDestroyWeakSynapseOnWrongPrediction,0.0997,0.095,0.3446,0.2704
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.0932,0.0894,0.799,0.7406
TestSegmentCreationIfNotEnoughWinnerCells2,0.1158,0.1093,0.3555,0.2908
TestBurstUnpredictedColumnsforFiveCells2,0.1026,0.0957,0.3711,0.3101
TestAddSegmentToCellWithFewestSegments,0.1508,0.161,0.3014,0.7631
TestPunishMatchingSegmentsInInactiveColumns,0.0753,0.0694,0.356,0.2667
TestNewSegmentAddSynapsesToAllWinnerCells,0.0488,0.0555,0.1506,0.3432
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.0981,0.0863,0.2883,0.2463
TestNewSegmentAddSynapsesToAllWinnerCells1,0.2537,0.2461,0.4289,0.3915
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0965,0.0896,0.1897,0.1703
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.102,0.095,0.2672,0.2403
TestPredictedActiveCellsAreCorrect,0.097,0.0898,0.2475,0.2219
TestActiveCellPrediction,0.0991,0.0934,0.262,0.2191
TestIncreasePermanenceOfActiveSynapses,0.0781,0.0723,0.2167,0.1737
TestCreateSynapseInDistalSegment,21.9756,20.3066,22.5077,22.3037
TestArrayNotContainingCells,0.1403,0.1326,0.3933,0.3305
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1164,0.1099,0.7288,0.6716
TestNoneActiveColumns,0.077,0.0712,0.5743,0.5371
TestNoNewSegmentIfNotEnoughWinnerCells,0.1204,0.1118,0.4088,0.3525
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.1362,0.1293,0.3305,0.2888
TestBurstUnpredictedColumnsforFiveCells1,0.0906,0.0859,0.3766,0.3286
TestBurstUnpredictedColumnsforSixCells,0.0718,0.0666,0.1884,0.1639
TestNewSegmentGrowthWhenNoMatchingSegmentFound,42.8355,40.869,43.7181,43.649
TestBurstNotpredictedColumns,0.0782,0.0699,0.1791,0.1478
TestWithTwoActiveColumns,0.1138,0.1078,0.3328,0.2815
TestActivateCorrectlyPredictiveCells,0.1084,0.1034,2.4412,0.2352
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0897,0.085,0.2708,0.2412
TestHighSparsitySequenceLearningAndRecallParallel,0.1643,0.1481,0.5297,0.3713
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,37.6338,36.2132,37.8925,37.8436
TestActivateCorrectlyPredictiveCells1,0.1035,0.0982,0.3416,0.2861
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0936,0.0877,0.266,0.2378
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1015,0.095,0.296,0.2548
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0713,0.0641,0.1727,0.1482
