Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestBurstUnpredictedColumnsforFiveCells1,16.6231,16.0077,53.9598,47.931
TestAddSegmentToCellWithFewestSegments,0.1966,0.1919,3.2524,2.6533
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0985,0.096,1.1804,0.3419
TestSegmentCreationIfNotEnoughWinnerCells2,0.1294,0.1258,0.4474,0.2838
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1407,0.1355,0.4165,0.3575
TestDestroyWeakSynapseOnWrongPrediction,0.1778,0.1682,0.4714,0.4058
TestCreateSynapseInDistalSegment,23.1812,21.8878,23.7671,23.5465
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.2246,0.218,1.1915,1.1266
TestNewSegmentAddSynapsesToAllWinnerCells1,0.2529,0.2365,1.0381,0.9795
TestPunishMatchingSegmentsInInactiveColumns,0.2464,0.2397,3.7598,3.5519
TestDestroyWeakSynapseOnActiveReinforce1,0.1239,0.1207,0.3412,0.3056
TestActivateCorrectlyPredictiveCells1,0.3103,0.3017,1.1429,1.0799
TestTemporalMemoryComputeReturnsWinnerCells,0.1452,0.1421,0.6363,0.5588
TestNoOverlapInActiveCells,0.172,0.1656,7.1094,6.9699
TestBurstUnpredictedColumnsforFiveCells2,0.1714,0.162,1.0298,0.9745
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.2254,0.2186,1.0065,0.7873
TestNewSegmentGrowthWhenNoMatchingSegmentFound,31.9892,30.6056,32.4346,32.3826
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1004,0.0968,0.5122,0.4629
TestNewSegmentAddSynapsesToSubsetOfWinnerCells,0.1662,0.1492,0.4679,0.4235
TestWithTwoActiveColumns,0.14,0.136,0.3454,0.3
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.1469,0.1386,0.6607,0.6139
TestBurstNotpredictedColumns,0.2053,0.1981,0.6859,0.6022
TestHighSparsitySequenceLearningAndRecall,0.1825,0.1688,0.9525,0.7745
TestPredictedActiveCellsAreCorrect,0.1393,0.1345,0.6132,0.5514
TestTemporalMemoryComputeReturnsWinnerCellsWithDataRow,0.0878,0.0852,0.344,0.2856
TestWhichCellsBecomeActive,24.1776,22.8798,25.2546,25.0045
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1121,0.1091,0.2665,0.2449
TestLowSparsitySequenceLearningAndRecall,0.0836,0.0782,0.3071,0.2187
TestIncreasePermanenceOfActiveSynapses,0.1989,0.1919,0.6681,0.5876
TestHighSparsitySequenceLearningAndRecallParallel,0.2738,0.2611,1.2784,1.115
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,23.5881,22.5121,24.0931,24.0012
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.2089,0.1995,1.0571,0.9662
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.3328,0.3251,1.2261,1.1279
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0604,0.0577,0.15,0.1208
TestArrayNotContainingCells,0.1012,0.0977,0.2603,0.2146
TestBurstUnpredictedColumnsforSixCells,0.139,0.1344,0.4037,0.3592
TestNoneActiveColumns,0.1507,0.1476,0.6694,0.6498
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1319,0.12,0.6457,0.5908
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,14.8102,14.8004,15.1059,15.0589
