Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestBurstUnpredictedColumnsforFiveCells1,14.3155,13.9785,45.797,41.5776
TestAddSegmentToCellWithFewestSegments,0.2711,0.2619,3.278,2.8701
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.1358,0.1327,0.9693,0.2606
TestSegmentCreationIfNotEnoughWinnerCells2,0.2233,0.2143,1.0703,0.7809
TestNoNewSegmentIfNotEnoughWinnerCells3,0.1211,0.1181,1.0728,1.0054
TestDestroyWeakSynapseOnWrongPrediction,0.199,0.19,0.7867,0.7395
TestCreateSynapseInDistalSegment,22.8895,20.9571,24.282,23.9068
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.1343,0.13,0.524,0.483
TestNewSegmentAddSynapsesToAllWinnerCells1,0.1017,0.0976,0.4682,0.4029
TestPunishMatchingSegmentsInInactiveColumns,0.2086,0.203,1.1628,0.9645
TestDestroyWeakSynapseOnActiveReinforce1,0.1694,0.1653,0.4462,0.4047
TestActivateCorrectlyPredictiveCells1,0.1752,0.1701,0.688,0.5852
TestTemporalMemoryComputeReturnsWinnerCells,0.3026,0.2961,0.8796,0.7346
TestNoOverlapInActiveCells,0.1344,0.1313,0.4137,0.3616
TestBurstUnpredictedColumnsforFiveCells2,0.2302,0.2245,1.0768,0.9984
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.2163,0.212,0.9969,0.9281
TestNewSegmentGrowthWhenNoMatchingSegmentFound,45.6378,44.3517,46.3569,46.2999
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.2576,0.2502,0.7819,0.7334
TestNewSegmentAddSynapsesToSubsetOfWinnerCells,0.2566,0.2485,0.748,0.6712
TestWithTwoActiveColumns,0.2562,0.2494,0.7621,0.7015
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.2202,0.2113,0.8187,0.7669
TestBurstNotpredictedColumns,0.1806,0.1757,0.4935,0.444
TestHighSparsitySequenceLearningAndRecall,0.4888,0.4408,1.6274,1.334
TestPredictedActiveCellsAreCorrect,0.1256,0.1221,0.3317,0.3022
TestTemporalMemoryComputeReturnsWinnerCellsWithDataRow,0.1602,0.1523,0.8974,0.8018
TestWhichCellsBecomeActive,40.5727,37.8131,42.0541,41.8022
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.1325,0.1294,0.7845,0.6788
TestLowSparsitySequenceLearningAndRecall,0.0759,0.0715,0.3937,0.2819
TestIncreasePermanenceOfActiveSynapses,0.2129,0.2063,1.1027,0.9864
TestHighSparsitySequenceLearningAndRecallParallel,0.1675,0.154,0.909,0.4788
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,15.9233,14.7868,16.4682,16.3859
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.2391,0.233,0.4785,0.4363
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.1318,0.1272,1.0957,1.0367
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0943,0.0904,0.2881,0.2624
TestArrayNotContainingCells,0.1954,0.1904,0.476,0.4201
TestBurstUnpredictedColumnsforSixCells,0.2269,0.2201,1.0769,0.9877
TestNoneActiveColumns,0.2727,0.2603,0.6035,0.5906
TestNoNewSegmentIfNotEnoughWinnerCells1,0.088,0.0849,0.4908,0.4463
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.0822,0.0788,0.3802,0.346
