Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestBurstUnpredictedColumnsforFiveCells1,9.9696,9.7002,28.5804,25.7275
TestAddSegmentToCellWithFewestSegments,0.1336,0.1295,3.0219,2.6585
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.1227,0.1194,0.9736,0.2936
TestSegmentCreationIfNotEnoughWinnerCells2,0.1952,0.1914,0.9808,0.707
TestNoNewSegmentIfNotEnoughWinnerCells3,0.2888,0.2831,0.8252,0.7549
TestDestroyWeakSynapseOnWrongPrediction,0.3161,0.2978,0.8004,0.741
TestCreateSynapseInDistalSegment,16.915,15.8916,18.1909,17.8671
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.289,0.2836,0.5456,0.5038
TestNewSegmentAddSynapsesToAllWinnerCells1,0.2404,0.2352,0.4818,0.4439
TestPunishMatchingSegmentsInInactiveColumns,0.4839,0.4688,1.2753,1.171
TestDestroyWeakSynapseOnActiveReinforce1,0.1073,0.104,0.5171,0.4816
TestActivateCorrectlyPredictiveCells1,0.108,0.1052,0.3675,0.3349
TestTemporalMemoryComputeReturnsWinnerCells,0.2717,0.2675,1.0746,0.9709
TestNoOverlapInActiveCells,0.2708,0.2653,1.0927,1.0252
TestBurstUnpredictedColumnsforFiveCells2,0.099,0.0947,0.5063,0.4729
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.0947,0.0925,0.3026,0.275
TestNewSegmentGrowthWhenNoMatchingSegmentFound,28.0147,26.6413,28.5148,28.4604
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.1394,0.1361,1.0974,1.0408
TestNewSegmentAddSynapsesToSubsetOfWinnerCells,0.1143,0.1055,0.7582,0.7099
TestWithTwoActiveColumns,0.1017,0.0991,0.6217,0.5456
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.0806,0.0779,0.5714,0.5431
TestBurstNotpredictedColumns,0.101,0.0984,0.4333,0.3879
TestHighSparsitySequenceLearningAndRecall,0.1671,0.1611,18.0136,0.4579
TestPredictedActiveCellsAreCorrect,0.2735,0.2657,0.5792,0.5237
TestTemporalMemoryComputeReturnsWinnerCellsWithDataRow,0.1766,0.1671,1.2827,1.1542
TestWhichCellsBecomeActive,37.0021,35.6379,38.2162,38.0522
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.2545,0.2477,1.3064,1.2317
TestLowSparsitySequenceLearningAndRecall,0.1041,0.0956,0.6441,0.5099
TestIncreasePermanenceOfActiveSynapses,0.2808,0.2706,1.1786,1.0685
TestHighSparsitySequenceLearningAndRecallParallel,0.2773,0.2615,0.8058,0.5989
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,13.3318,11.619,13.7101,13.6644
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.2083,0.1992,0.7612,0.7197
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.4129,0.404,1.065,1
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0915,0.0869,0.2604,0.233
TestArrayNotContainingCells,0.0859,0.0813,1.4699,1.4064
TestBurstUnpredictedColumnsforSixCells,0.1134,0.1085,0.4241,0.393
TestNoneActiveColumns,0.0997,0.0942,0.32,0.3068
TestNoNewSegmentIfNotEnoughWinnerCells1,0.1368,0.1282,0.4147,0.3791
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.2317,0.225,0.8147,0.7507
