Test_Case,Init_Time,InitParallel_Time,Compute_Time,ComputeParallel_Time
TestBurstUnpredictedColumnsforFiveCells1,4.5344,4.0343,35.2436,32.0743
TestAddSegmentToCellWithFewestSegments,0.0552,0.0521,2.6869,2.3389
TestRecycleLeastRecentlyActiveSegmentToMakeRoomForNewSegment,0.0291,0.0268,2.6342,0.5371
TestSegmentCreationIfNotEnoughWinnerCells2,0.0393,0.0357,0.6105,0.43
TestNoNewSegmentIfNotEnoughWinnerCells3,0.0647,0.062,0.5627,0.5031
TestDestroyWeakSynapseOnWrongPrediction,0.0589,0.0563,0.8025,0.6163
TestCreateSynapseInDistalSegment,23.3085,21.4428,24.8612,24.395
TestNoChangeToNoTSelectedMatchingSegmentsInBurstingColumn,0.0344,0.032,0.512,0.4671
TestNewSegmentAddSynapsesToAllWinnerCells1,0.0448,0.0403,0.7854,0.7215
TestPunishMatchingSegmentsInInactiveColumns,0.0354,0.0326,3.1721,3.0264
TestDestroyWeakSynapseOnActiveReinforce1,0.0339,0.0314,0.5061,0.444
TestActivateCorrectlyPredictiveCells1,0.0876,0.0842,0.4568,0.4139
TestTemporalMemoryComputeReturnsWinnerCells,0.0451,0.0431,0.6021,0.5133
TestNoOverlapInActiveCells,0.0649,0.0619,1.0119,0.9316
TestBurstUnpredictedColumnsforFiveCells2,0.1312,0.1256,1.6532,1.5365
TestActiveSegmentGrowSynapsesAccordingToPotentialOverlap,0.1131,0.1087,0.7148,0.638
TestNewSegmentGrowthWhenNoMatchingSegmentFound,49.921,48.8278,50.3916,50.332
TestDestroySegmentsWithTooFewSynapsesToBeMatching,0.0702,0.0672,0.4898,0.4468
TestNewSegmentAddSynapsesToSubsetOfWinnerCells,0.0741,0.0711,0.6609,0.6147
TestWithTwoActiveColumns,0.0319,0.0294,0.4696,0.4185
TestSynapsePermanenceUpdateWhenMatchingSegmentsFound,0.0554,0.0529,0.5828,0.535
TestBurstNotpredictedColumns,0.0358,0.0335,0.3608,0.3182
TestHighSparsitySequenceLearningAndRecall,0.1473,0.1416,1.0345,0.7587
TestPredictedActiveCellsAreCorrect,0.0609,0.0585,0.6217,0.5668
TestTemporalMemoryComputeReturnsWinnerCellsWithDataRow,0.0662,0.061,1.2367,1.1477
TestWhichCellsBecomeActive,37.434,35.858,38.7298,38.5326
TestMatchingSegmentAddSynapsesToSubsetOfWinnerCells,0.0763,0.0693,0.8976,0.8179
TestLowSparsitySequenceLearningAndRecall,0.0788,0.0685,1.0882,0.7989
TestIncreasePermanenceOfActiveSynapses,0.0901,0.08,0.7384,0.4829
TestHighSparsitySequenceLearningAndRecallParallel,0.1144,0.1017,1.0523,0.8055
TestNewSegmentGrowthWhenMultipleMatchingSegmentsFound,19.9607,18.5922,20.245,20.2028
TestReinforcedSelectedMatchingSegmentInBurstingColumn,0.0396,0.0349,0.4093,0.3613
TestNewSegmentAddSynapsesToSubsetOfWinnerCells2,0.0401,0.034,0.4794,0.4308
TestNewSegmentAddSynapsesToSubsetOfWinnerCells1,0.0393,0.035,0.264,0.2438
TestArrayNotContainingCells,0.0434,0.0388,0.2698,0.2209
TestBurstUnpredictedColumnsforSixCells,0.1074,0.1008,1.21,1.0728
TestNoneActiveColumns,0.061,0.0541,0.2812,0.2674
TestNoNewSegmentIfNotEnoughWinnerCells1,0.0514,0.0452,0.5561,0.4797
TestReinforcedSelectedMatchingSegmentInBurstingColumn1,0.0443,0.0387,0.9942,0.9146
